@RELATION 	Feature19

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"לגבי ה lg health אני השתמשתי בזה פעם אחת  אני משתמש בעיקר ב nike + והאפליקציה של ה lg מאוד נוחה לשימוש ועובדת טוב",Positive
"מהירות התגובה של מערכת ההפעלה זה משהו שבאנדרואיד יכולים רק לחלום עליו",Positive
"מכשיר יצב מבחינת תכנה  עובד היטב   קל משקל  תצוגה טובה  מכשיר טוב לעבודה   עמיד מאוד",Positive
"מערכת הפעלה מעולה",Positive
"מאוד פשוט להתקין עליו מערכות הפעלה צד ג כמו cyanogenmod  ubuntu ורבות אחרות",Positive
"במכשיר מותקנת במערכת הפעלה  נקייה  של אנדרואיד  בשונה מבמכשירים אחרים של חברות מתחרות כדוגמת סמסונג ו htc",Positive
"נראה ומרגיש לא פחות יפהו ואיכותי מאייפון  אבל מבחינת מערכת ההפעלה הרבה יותר נוח וגמיש ובעיקר לא מגביל למשתמש",Positive
"לעומת מכשירי האנדרואיד המכשיר אינו נתקע ועובד בצורה חלקה",Positive
"בנוסף לזה שהכל מסונכרן עם האייטונס לי זה נוח  עם הגירסא של ios 7 זה בכלל מעולה",Positive
"כמשתמש שנים באנדרואיד  והטלפון האחרון שהיה לי sg s3 מערכת ההפעלה ios טסה ומהירה הרבה יותר  שום אנדרואיד לא משתווה לה",Positive
"מצלמה מדהימה  סנכרון מלא עם כל סוגיי האימיילים  איכות מסך מדהימה  בקיצור למי שלא מחפש טלפון למשחקים אלא לעבודה  זה הטלפון",Positive
"המעבד מערכת הפעלה מצוינת לי אישית נוח להשתמש בהטיונס",Positive
"המגע מושלם ומערכת ההפעלה נוחה ואינטואיטיבית",Positive
"מערכת הפעלה אנדרואיד מתקדמת",Positive
"תכנה עדכנית",Positive
"תפעול המכשיר  מערכת ההפעלה אנדרואיד השתפרה באופן ניכר והתפעול ממש נוח באלף מונים מהגלקסי s2 שהיה לי",Positive
"וגם רואים שסמסונג צמצמו את הפיצ רים למרות שעדיין יש לא מעט אך זה לא משהו שמעיק עליי כלל  והגמישות שאנדרואיד נותנת זה מהווה לדעתי היתרון הכי עצום על מתחרותיה כי אתה פשוט יכול לעשות כל דבר כמו לסדר את המכשיר עם תיקיות בקלות ובאופן שנוח לך",Positive
"מערכת הפעלה נוחה מאוד הרמקול בטלפון טוב ואפילו",Positive
"יש לציין שעדיין רוב האפליקציות לא תואמות לרזולוציית המסך ולכן  תקבלו לעתים מסך חתוך  אולם זה זמנית ומן הסתם אפליקציות באייפון עובדות חלק וחכם יותר ממערכת ההפעלה המתחרה עם יכולות פונקציית push מה שאין במערכת ההפעלה המתחרה",Positive
"המכשיר פועל יפה ללא תקיעות גם כשהוא עמוס באפליקציות",Positive
"הביצועים שלו מאוד טובים  כמו כל טלפון  יש לו באגים שצצים מפעם לפעם ככל שהטלפון יותר עמוס או עם אפליקציות פתוחות הבאגים יותר מורגשים  אבל אני מרוצה מאוד",Positive
