@RELATION 	Feature21

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"מרוצה ביותר מהרכישה",Positive
"פסגת הטכנולוגיה",Positive
"מכשיר מעולה   הטוב ביותר שיש",Positive
"נהנה מכל רגע איתו ונהנה מהקנייה שעשיתי",Positive
"רכשתי את המכשיר לפני כחודש ואני מרוצה עד הגג",Positive
"לסיכום  lg הפציצה עם מכשיר באמת טוב ואיכותי שמספק חוויית שימוש אחת גדולה",Positive
"היו לי לא מעט מכשירים ואני יכול להגיד ללא ספק שזה אחד המכשירים היותר טובים שהשתמשתי בהם",Positive
"מכשיר מדהים   כמעט מכל בחינה למעט איכות הבנייה שמרגישה מעט זולה  לטעמי",Positive
"אין מה להשוות לאנדוראיד  המכשיר הזה לקוח בסיבוב את מכשירי הדגל של המתחרות",Positive
"פלאפון לא רע בכלל",Positive
"טלפון מדהים ויפיפה כופל את גלקסי 4 בגדול ממליץ בחום וגם עםתורידו משהו מהאפסטור הוא ידר בשני שניות",Positive
"גיליתי שהאייפון הוא המכשיר הטוב ביותר והאיכותי ביותר קודם כל המעבד של האייפון יותר חזק ישנן יותר פונקציות והוא מלא רק בכל טוב אז כאשר האייפון שש יצא זהרו עיני במשך כחודש בדקתי עליו ראיתי אותו והתרשמתי לטובה מאוד לכן החלטתי לרכוש  את המכשיר  ולא התאכזבתי אז למי שמוכן להשקיע זה המכשיר הטוב ביותר בשוק כיום ולמי שרוצה להתייעץ איתי אני זמין במייל ofekedri325@walla com",Positive
"אני מוכרח להגיד שהמכשיר מדהים",Positive
"זה מה שאני אוהב אצל אפל   דברים פשוט עובדים טוב",Positive
"מכשיר מצויין  מערכת נוחה מאוד  מהיר  יעיל ויפה",Positive
"קניתי בחו ל את האייפון ואני חייב להגיד שהוא פשוט מושלם",Positive
"בן כשנה  מכשיר מעולה לילד או למשתמש לא כבד מאוד  ללא תקלות  גודל מצוין  המחיר סביר יחסית",Positive
"יש לי את המכשיר כמעט שנה  מכשיר מצוין  אמנם לא דומה ביכולותיו לאחיו הגדול אך מספק למי שמחפש משהו פחות גרנדיוזי",Positive
"הפלאפון טוב מאוד",Positive
"מכשיר נחמד מבית סמסונג  מותג שאומר לא מעט  נותן מענה למי שאוהב לגלוש ולנהל אימיילים  מצלמה סבירה  עדכני  ל2013  ולא עושה בעיות עם אפליקציות",Positive
"ממליץ בחום",Positive
"יש לי את המכשיר והוא מצויין  הוא מהיר  עדכני יעיל ומעוצב יפה ונוח",Positive
"הטלפון בסדר",Positive
"בסך הכל מכשיר מעולה יש לי אותו כבר 6 חודשים והוא לא עשה בעיות",Positive
"אני מרוצה בסך הכל",Positive
"מכשיר פשוט מצויין",Positive
"מכשיר מעולה",Positive
"אני מאוד מרוצה ממנו",Positive
"קנתי את המכשיר לא מזמן מדובר במכשיר קטלני ברמה גדולה",Positive
"התלבטתי לגבי אורך מסך כי רציתי לא יותר מ 4 5 אינצ  וטוב שקניתי דווקה נקסוס 4",Positive
"זה פלאפון אדיר",Positive
"נרכש לפני כחצי שנה  מתאים לכל הצרכים  עבודה  פנאי ומשחקים לפעמים",Positive
"מומלץ בחום",Positive
"טלפון מצוין ומחיר הוגן  הטלפון אצלי כבר שנה ולא הייתה שום תקלה  מתאים לכל צורך  עבודה ומשחקים",Positive
"טלפון מצוין בנפח 3gb מצלמה 13 מגה פיקסל מצוינת הכול עובד חלק בלי תקיעות 64gb  שזה מצוין סוללה חזקה מאוד  עיצוב יפה מכשיר פצצה אין מילים",Positive
"הגלקסי אס 3 נאו פשוט מעולה רכשתי אותו לפני חודש ומפתיע אותי לטובה חוץ מזה האוזניות שמקבלים איתו מעולות",Positive
"iphone 5 של אפל הוא מכשיר הדגל אפל מכשיר דק בצרה נפלאה מסך  hd  4 אניצ ה מעבד גדל בקיצור מכשיר סבבה  מואד",Positive
"קניתי את המוצר לפני כחודשים פשוא נהנה היה שווה מאוד לקנות את המוצר הזה",Positive
"טלפון טוב מבית טוב נקנה לפני שנה ממשק טוב מהיר וקליל 4 ליבות לדעתי המחיר לא מצדיק בגרמניה המחיר יותר ראלי מישראל",Positive
"מצד שני מדובר על עוד מוצר מצויין של אפל",Positive
"כלי עבודה ממש",Positive
"שידרוג לבעל עסק בכל תחום",Positive
"ממליץ בחום",Positive
"מכשיר מעולה נרכש לבת שלי בת 10",Positive
"המכשיר בתפעול יום יומי מוגבר מעל חודשים עובד מעולה",Positive
"רכשתי את הפלאפון לפני יותר מחודש ועד עכשיו הוא מצוין",Positive
"לסיכום  אני ממליץ בחום על הטלפון הנפלא הזה לכל מי שמחפש סלולרי במחיר מעולה  ביחס לביצועיו",Positive
"טלפון פשוט מדהים",Positive
"טוב  מקווה שאני לא פותח פה לשטן    אבל 4 ימים איתי  ואין ספק שהטלפון הזה פשוט מצויין",Positive
"מכשיר מעולה",Positive
"לדעתי המכשיר מעולה",Positive
"מכשיר נחמד",Positive
"פלאפון אדיר   אין מילים פשוט מושלם",Positive
"אין ספק מכשיר מהשורה הראשונה",Positive
"פשוט מושלם",Positive
"אין מה לעשות  אני בטוח שבעוד שנה מהיום אם אשווה את ה5s שלי לs5 שנקנה באותו זמן איתי  האייפון יעשה לו בית ספר של החיים",Positive
"ממליץ עליו אך קחו בחשבון כי לאחר תקופה מסוימת ייתכן שיעבוד לאט",Positive
"מכשיר דק בימיוחד ממליץ במיוחד",Positive
"לסיכום מכשיר פשוט מדהים ובמחיר הזה אין לו מתחרים",Positive
"מומלץ בחום  יש תמורה למחיר",Positive
"מכשיר מדהים מבית אפל",Positive
"משתדרג מגלקסי 4 ופשוט אנדרואיד לא מתקרב לios עם כל הכבוד",Positive
"אייפון 5s הסמארטפון הטוב בעולם כרגע  ממליץ",Positive
"iphone 5s   מפרט מצוין",Positive
"כל אלה שטוענים שהוא עובד לאט בגלל המסך החד והסוללה מתרוקנת מהר מאוד  זה לא נכון  המהנדסים חשבו על זה לפני שהוציאו אותו ובאמת אני מאוד מרוצה ממנו",Positive
"הביצועים שלו מאוד טובים  כמו כל טלפון  יש לו באגים שצצים מפעם לפעם ככל שהטלפון יותר עמוס או עם אפליקציות פתוחות הבאגים יותר מורגשים  אבל אני מרוצה מאוד",Positive
"אומנם זה הסמארטפון הראשון שלי  ולכן אין לי אופציה לעשות השוואה עם אף טלפון אחר  אבל לדעתי זה טלפון מצויין ואני מאוד מרוצה ממנו",Positive
"לא נתקלתי בשום בעיה",Positive
"ממש סיפור הצלחה  benchmark מקבל 3000 ניקוד וזה הרבה",Positive
"קניתי אותו לפני כשבוע ואני מרוצה עד הגג",Positive
