@RELATION 	Feature11

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"לדעתי  ממה שבדקתי ומנסיון של חודש   זה האנדרואיד הטוב ביותר  בעיקר למי שחשוב לו יעילות ומהירות",Positive
"1 מעבר בין אפליקציות פתוחות   מדהים  גם כשפתוחות 10 15 אפליקציות",Positive
"קניתי את גרסת ה  32gb שמגיעה עם 3gb זיכרון  ממליץ להוסיף עוד 100 150 שקל ולקנות את הגרסה הזו  לא בגלל מקום האחסון אלא בגלל ה  3gb זיכרון  שמאפשר עבודה חלקה מאוד",Positive
"המכשיר פועל יפה ללא תקיעות גם כשהוא עמוס באפליקציות",Positive
"המעבר בין אפליקציה לאפליקציה הוא חלק מאוד  כמו כן המעבר בין אנשי קשר ליומני השיחות חלק ומהיר",Positive
"הביצועים שלו מאוד טובים  כמו כל טלפון  יש לו באגים שצצים מפעם לפעם ככל שהטלפון יותר עמוס או עם אפליקציות פתוחות הבאגים יותר מורגשים  אבל אני מרוצה מאוד",Positive
"אני לא ידבר יותר מידי על המעבד כי כדי שהוא יתאמץ במאת צריך להפעיל המון אפליקציות בו זמנית  ורק אז אתם תרגישו כאילו אין עוד אפליקציות פתוחות  שזה מאוד נוח",Positive
"ניתן לנהל בו זמנית כמה אפליקציות",Positive
"הפלאפון מהיר ביותר  הפלאפון הכי מהיר שראיתי עד היום",Positive
"מומלץ מאוד מהיר מאוד מסך מעולה וגדול רק חבל שבטריה נגמרת מהר קל לשימוש המקום נגמר מהר מאוד וחבל",Positive
"לעומת מכשירי האנדרואיד המכשיר אינו נתקע ועובד בצורה חלקה",Positive
"אחרי מעבר מאייפון 4  הייתי מרוצה עד הגג   מכשיר מהיר מאוד עם מצלמה מעולה",Positive
"כאמור המכשיר זריז מאוד ואפילו היום  כעבור כמעט שנתיים  מהיר כטיל  שאפו",Positive
"ביצועים מעולים",Positive
"הטלפון מעולה הוא עובד חלק ומהיר",Positive
"ביצועים מהירים",Positive
"הוא מהיר  המצלמה מעולה  גם הסטילס וגם הוידאו   הגלישה נוחה ומהירה והאפליקציות טסות",Positive
"פלאפון מצויין קניתי אותו ליפני 5 חודשים בערך והוא עדיין עובד מצויין ואף פעם לא ניתקע לי",Positive
"יש לי אותו כבר חצי שנה והוא סוס עבודה",Positive
"הטלפון לא נתקע גם עם מלא אפליקציות פתוחות",Positive
"את המכשיר קניתי בינואר 2013 ומאוד מרוצה כי אחרי ששידרגתי מקודם שמהירות שלו הייתה 1 ג יגה עם ליבה אחד  הרגשתי עולם של הבדל",Positive
"מעבד מהיר מאוד שגרם לי לשכוח מאיטיות",Positive
"זיכרון יותר ממספיק שרק משפר מולטיטסקינג",Positive
"טלפון אמין  די חזק למרות שנראה שברירי וממש מהיר הודות למעבד 4 ליבות של סנאפדרגון ו 2 ג ב ראם",Positive
"כל אלה שטוענים שהוא עובד לאט בגלל המסך החד והסוללה מתרוקנת מהר מאוד  זה לא נכון  המהנדסים חשבו על זה לפני שהוציאו אותו ובאמת אני מאוד מרוצה ממנו",Positive
"זריז מאוד בהפעלת אפליקציות מרובות  כמעט מושלם",Positive
"שיש בו תוספת זיכרון שעוזר לשיפור הביצועים הטלפון עובד מהר ללא לאגים",Positive
"ומעבד חדש של 1 9 גיגה הרץ חלק",Positive
"טלפון מצויין  מהיר עם העידכונים הכי חדשים בעיברית ותמיכה בדור 4 בסלולר",Positive
"כמשתמש שנים באנדרואיד  והטלפון האחרון שהיה לי sg s3 מערכת ההפעלה ios טסה ומהירה הרבה יותר  שום אנדרואיד לא משתווה לה",Positive
"טלפון מהיר מאוד",Positive
"מעבד חזק",Positive
"גודל הזיכרון גדול מאוד ומספיק לאדם ממוצע",Positive
"באפליקציות עובדות מהר",Positive
"המכשיר עובד מהר מאוד   לא נתקלתי במתחרים ראויים שיכולים להתחרות באופן החלק והיעיל שמערכת ההפעלה ios עובדת על המכשיר הזה",Positive
"מכשיר מצויין עובד מהר מאוד לא נתקע מקבל את כל העדכונים החדשים ישירות מגוגל",Positive
"מעבד מאוד חזק ומאיץ גרפי מצויין",Positive
"שידרגתי מאייפון 4  הרגשתי קפיצה רצינית במהירות המכשיר",Positive
"יש לי את המכשיר והוא מצויין  הוא מהיר  עדכני יעיל ומעוצב יפה ונוח",Positive
"טלפון טוב מבית טוב נקנה לפני שנה ממשק טוב מהיר וקליל 4 ליבות לדעתי המחיר לא מצדיק בגרמניה המחיר יותר ראלי מישראל",Positive
"מוצר אדיר ומהיר",Positive
"רץ במהירות מצלמה איכותית סוללה חזקה יחסית מסך גדול יחסית למיני ואיכות וידאו מצויינת",Positive
"משכיר מעולה  עובד טוב  רץ מהר וחלק  עושה את העבודה",Positive
"מהיר ביותר ולא נופל כמעט בכלום מאייפון 6 במהירויות תגובה",Positive
"קניתי את המכשיר בחברת סלקום ומאוד אהבתי את המהירות",Positive
"תגובה חלקה ומהירה",Positive
"השתמשתי בו 8 חודשים והוא מהיר מאוד",Positive
"מכשיר מצוין ומהיר מאוד",Positive
"בסרטונים רואים מעולה הדפדפן מהיר המצלמה סבירה פלוס לא התלהבתי העברתי למחשב תמונות לא רואים משהו לא יודע לא צילמתי מספיק יש עוד הרבה מצבים של צילום שלא ניסיתי בחוץ מצלם ממש טוב וידאו מצלם מעולה",Positive
"מכשיר מהיר מאוד",Positive
"מעבד 64 ביט כפול ליבה פשוט מטיס את האפליקציות",Positive
"3  זריז כשד",Positive
"מכשיר מעולה נוח לתפעול ומהיר",Positive
"לבסוף אחרי שהרגשתי ביד את המכשיר הבנתי שזה המכשיר הבא שלי  המהירות  האיכות  והיוקרה של האייפון פשוט לא משתווה לשום מכשיר אנדרואיד",Positive
"מהיר מאוד  מערכת יציבה  מעבד מאוד מהיר",Positive
"קודם כל זאת ההתרשמות הראשונה שלי מהאייפון לאחר שעברתי מאנדרואיד מוכרח להגיד שהאייפון  מאוד נוח ביד והעיצוב החדש מרשים הטלפון מאוד מהיר סופר מהיר זה בעצם הטלפון המושלם למי שמחפש טלפון עמיד להמון זמן",Positive
"5s הוא אחד מהמכשירים הכי נוחים ומהירים בקטגוריה  מע  הפעלה שעובדת בצורה חלקה מאוד",Positive
"מפרט  על הנייר  אמנם חלש יותר ממכשירי האנדרואיד המובילים אך במבחן הביצועים עומד איתם ראש בראש",Positive
"אני מוכרח להגיד שהמכשיר מדהים  הוא מהיר",Positive
"הגלישה נוחה ומהירה והאפליקציות טסות  זה מה שאני אוהב אצל אפל   דברים פשוט עובדים טוב",Positive
"מכשיר מהיר ברמות מטורפות ופועל מצויין ללא בעיות",Positive
"עברתי אליו מנקסוס 4 והוא הרבה יותר מהיר",Positive
"פותח כל אפליקציה בשנייה אחרי הפקודה",Positive
"מאוד נוח   מהיר  איכותי",Positive
"אנדרואיד מצוין מהיר",Positive
"המכשיר עצמו מהיר  יחסית למה שהיה לי",Positive
"הביצועים שלו מעולים ויש לו את כל התכונות המתקדמות של היום",Positive
"אני מריץ עליו אפילו משחקים כבדים והם עובדים טוב בלי להיתקע",Positive
"משחקים עובדים חלק ורצים בצורה מושלמת",Positive
"מריץ משחקים טוב  מהיר  מוריד מהר",Positive
"מהיר מאד  ואין צורך לרכוש את המכשיר בתוספת מחיר לשפה העברית",Positive
"ריבוי משימות  מהיר ביותר וללא בעיות בכללללל",Positive
"מגיב מהר עם הגרסה החדשה של אנרואיד",Positive
"ה note 4 ישגע את כל מי שאוהב מכשיר מהיר",Positive
"וואווווו אין לי מילים הוא מהיר יש בו הרבה אפשרויות מצלמה טובה סוללה מחזיקה טוב",Positive
"מהיר ונוח ביד מצלמה איכותית",Positive
"מכשיר מדהים עובד חלק   עושה הכל חוץ מקפה  גלישה מצוינת  טלפון נהדר  אפליקציות עובדות מצויין",Positive
"יש לי את הפלאפון מ2012 ואני רק יכול להגיד שהטלפון מהיר וטוב אך לכול פלאפון כמו שיש לו יתרונת ככה יש לו גם חיסרונות",Positive
"מכשיר חד מאוד ומהיר ויפה והוא נוח יש לי אותו חודשים והוא טוב והוא יעיל מאוד למי שנתקע אם 50% אפשר להשתמש בחיסכון מרבי",Positive
"הוא אצלי כחודשיים בערך והוא פשוט מדהים כמה שהוא מהיר",Positive
"פלאפון מעולה איכותי מהיר ולא יקר מידי",Positive
"הטלפון מהיר ועובד בצורה חלקה",Positive
"התפעול המהירות והסוללה פשוט יוצא מהכלל",Positive
"פלאפון מהיר מסך עם חדות  מעולה  הפלאפון לא נתקע בשום מצב סוללה מעולה שמחזיקה לכל היום ואפילו יות",Positive
"לאחרונה קניתי את המכשיר  וזה מכשיר מדהים  הכל עובד מהיר וחלק  ממש נוח ונגיש",Positive
"מעולה למשחקים  רמת ביצועים מאוד גבוהה לאורך זמן  בלי יותר מידי נפילות של פריימים בזמן משחקים כבדים כמו אספלט 8 וכדו   לעומת הlg g3 למשל",Positive
"המכשיר מהיר מאוד התוכנה לא נתקעת",Positive
"מעבד מהיר במיוחד",Positive
"והמהיר ביותר שפגשתי",Positive
"מבחינת תוכן הוא טס בכל עניין אם זה בגלישה או העברות או העלאות או הורדות המערכת ידידותית ונוחה המסך צבעים חדים ובהירות מצויינת מצלמה איכותית ותוספת הצילום הפנורמי חווית אמתית לכלול תמונה בהקיף מלא",Positive
"המכשיר עובד חלק  מהיר בטירוף",Positive
"הטלפון מהיר מאד למרות גודל המסך העצום שלו הסוללה קטלנית המצלמה ממש ממש טובה הטלפון הכיטוב בשוק היום ללא ספק",Positive
"לא מתחמם ולא בטיח",Positive
"הטלפון מעולה עובד חלק  מהיר",Positive
"מעבד טוב",Positive
"בעיניי הסלולרי הכי משתלם ביחס של תמורה למחיר  לא נופל במהירות מהגלקסי 4 בהרבה  מי שלא צריך גלאים על כל המכשיר שיחסוך כסף לעצמו",Positive
"המסך מצוין ומאוד קל להיסתכל בשמש על המסך המעבד a5 עם שני הליבות מהיר מאוד יותר מגלקסי3 ואני אומר את זה כי זה אמיתי אני בכלל לא פריק של אפל אני גם מאוד אוהב אנדרואיד",Positive
"iphone 5 של אפל הוא מכשיר הדגל אפל מכשיר דק בצרה נפלאה מסך  hd  4 אניצ ה מעבד גדל בקיצור מכשיר סבבה  מואד",Positive
"מכשיר רץ מאוד היה נתקע לעיתים רחוקות עד לעדכון 3 4 מאז הוא טיל בליסטי ללא תקיעות",Positive
"טלפון שעובד מהר",Positive
"לא נתקע  עובד ממש חלק  המסך הכי חד בעולם ומצלמה מצוייייינת",Positive
"המכשיר נרכש לפני חצי שנה אחרי התלבטות בינו לבין גלקסי 2 מיני אני לא מצטער שקניתי אותו הביצועים שלו טובים יחסית למכשירים כמוהו",Positive
"טלפון מעולה ומהיר מאוד   מה גם שמדובר בזיכרון  ram  כפול מהדגם הרגיל 2 גיגה",Positive
"מוגדר כמכשיר low end אבל מבחינתי הוא לא נופל בביצועים ממכשירים שעולים פי 2 ויותר ממנו",Positive
"הזיכרון ניתן להרחבה בקלות",Positive
"בכללי למי שלא רוצה להעמיס על הפלאפון או לא מרבה בהרבה משימות ביחד  זה מומלץ",Positive
"מהיר ביותר",Positive
"זיכרון פנימי גדול+ אפשרות הרחבה",Positive
"טלפון מעולה מגיב מהיר  אלגנטי",Positive
"כל האפליקציות קופצות במהירות למסך",Positive
"המוצר בעל מעבד מהיר המספק 2 5 ghz",Positive
"מהיר חלק",Positive
"מדובר במכשיר בעל כושר עיבוד יוצא דופן  מהיר  אלגנטי",Positive
"ביצועים  כאמור  המכשיר מצוייד במעבד 801 בעל מהירות שעון של 2 5 ghz  וזיכרון ram 2gb  שילוב זה  הופך את הגלקסי 5 לאחד הטלפונים המהירים והעוצמתיים בשוק כיום  יוער  כי לעיתים נדירות קיימים לגים קלים  אך מספרם ומשכם מועט ביותר  האפליקציות  המצלמה  אנשי הקשר נפתחים כולם במהירות הבזק",Positive
"אישית הייתי מאוד ממליץ להתנסות במכשיר עם מלא יתרונות עם ביצועים גבוההים",Positive
"קצת ארוך  מהיר מאוד",Positive
"עובד מהר מאוד בזכות מעבד a6",Positive
מהיר,Positive
"מכשיר מהיר וקצת יותר גדול מהקודם",Positive
"המכשיר מהיר ללא תקלות",Positive
"אני אישית  לא קניתי את המכשיר  אבל מהיכרות קטנה שלי איתו  המכשיר פועל מהר  בדיוק כמו ה 4s כשהוא חדש ואין עליו אפליקציות",Positive
"קניתי את המכשיר ב10 לחודש  המכשיר מהיר מאוד",Positive
"הכול עובד ורץ חלק",Positive
"עובד כמו סוס ולא נתקע כמעט אף פעם  יש לי אותו ומניסיון",Positive
"המכשיר הפתיע אותי לטובה התרגלתי אליו בקלות רבה הוא מהיר מאוד למרות שאני העמסתי אותו באפליקציות",Positive
"הוויז וואטסאפ וכל האפליקציות הפופולריות עובדות חלק ובמהירות רבה",Positive
"מעבד חזק בצורה בלתי רגילה",Positive
"מהיר ביחס לאייפון 4",Positive
"מכשיר טוב ונוח לשימוש  כמעט בלי באגים או תקיעות  מכשיר מצוין בעיקרון  מהיר יחסית",Positive
"מכישר נוח ומהיר",Positive
"מהיר במיוחד דק וקל",Positive
"המכשיר נקי מתקיעות ומסוגל להריץ את כל סוגי המשחקים הכי  כבדים  בשוק  ללא רבב",Positive
"מכשיר נהדר  מהיר  צריכת סוללה מדהימה  אני מסיימת יום רגיל עם 70%",Positive
"המכשיר מהיר מאוד  מסך איכותי  מצלמה טובה הממשק של lg יחסית קל מאוד לתפעול  גם מבוגרים הסתדרו איתו",Positive
"עובד חלק ללא תקיעות  עיצוב מדהים",Positive
"קניתי לפני שבועיים בסך הכל טלפון טוב מאוד מערכת אנדרואיד חדשה נראה טוב מהיר ממליץ",Positive
"ולכל מי שחושב שלטלפון יש בעיות ביצועים וסוללה  אין",Positive
"מהיר ביחס לשני מעבדים",Positive
"הוא עובד חלק ומהיר",Positive
"הטלפון מריץ מלא משחקים וסרטים ולא עושה בעיות",Positive
"מכשיר מעולה  מהיר עם ביצועים טובים",Positive
"בדברים מסוימים הוא חזק ומהיר",Positive
"מהיר  חד  נוח ואלגנטי",Positive
"לאחר שבוע ניסוין איתו עובד מהר",Positive
"כלומר המעבד והאנדרואיד עובדים טוב אבל המסביב  סוללה בלתי ניתנת להחלפה וחימום המכשיר בזמן גלישה או משחק קל מאוד מכבידים",Positive
"מהירות אדירה גם לאחר הרבה התקנות  70 אפליקציות",Positive
"הוא יותר מהיר  לא הייתי אותר משמעותית אבל הוא מספיק מהיר שלא תרגישו את  הקפיצות  שבאייפון 4  הוא פשוט יותר חלק כזה",Positive
"מריץ אנדרואיד 4 1 2 בצורה טובה מאוד  נוח וקל יחסית  מסך טוב מאוד",Positive
"פלאפון מצויין        מהיר טוב עם מלא אפשרויות  ממליץ בחום     גם מלא אפליקציות ומלא משחקים",Positive
"חזק  מהיר  יציב",Positive
"מכשיר פרימיום  מהיר  חזק  איכותי מאוד",Positive
"מכשיר איכותי  הרכבה טובה ומדוייקת  ביצועיים גבוהיים  עבודה חלקה  לא נתקע גם אחרי התקנת הרבה אפליקציות",Positive
"מהירות התגובה של מערכת ההפעלה זה משהו שבאנדרואיד יכולים רק לחלום עליו",Positive
"גיליתי שהאייפון הוא המכשיר הטוב ביותר והאיכותי ביותר קודם כל המעבד של האייפון יותר חזק ישנן יותר פונקציות והוא מלא רק בכל טוב אז כאשר האייפון שש יצא זהרו עיני במשך כחודש בדקתי עליו ראיתי אותו והתרשמתי לטובה מאוד לכן החלטתי לרכוש  את המכשיר  ולא התאכזבתי אז למי שמוכן להשקיע זה המכשיר הטוב ביותר בשוק כיום ולמי שרוצה להתייעץ איתי אני זמין במייל ofekedri325@walla com",Positive
"המעבד מערכת הפעלה מצוינת לי אישית נוח להשתמש בהטיונס",Positive
"למי שרוצה מכשיר קטן יותר  נוח יותר לשימוש יומיומי ושיש לו את כל הפונקציונליות העיקרית  חיישן טביעות אצבע  מעבד 64 ביט וכו    זה הפתרון הנכון בנקודת הזמן הזאת",Positive
"מתחבר לאפליקציות בזריזות  הוויז מוכן לניווט תוך שניות",Positive
"הטלפון מהיר  פשוט טס",Positive
"הגלקסי s5 החדש  מכשיר הדגל של סמסונג  מגיע עם המעבד החדש של קואלקום  נראה טוב לטעמי  בגרסה הלבנה",Positive
"5  המכשיר מהיר מאוד ומאפשר פתיחה של 2 תוכנות במקביל על מסך אחד",Positive
"פועל מהר ובצורה חלקה",Positive
"הטלפון עובד בצורה חלקה מאוד זה משהו",Positive
"ומהירות מעבד מצוינת",Positive
"קודם כל זאת ההתרשמות הראשונה שלי מהאייפון לאחר שעברתי מאנדרואיד מוכרח להגיד שהאייפון  מאוד נוח ביד והעיצוב החדש מרשים הטלפון מאוד מהיר סופר מהיר זה בעצם הטלפון המושלם למי שמחפש טלפון עמיד להמון זמן  ההמלצה שלי ללכת על הצבע הלבן וחשוב לשים כיסוי מגן מפני נפילות כי האייפון מאוד רגיש מפני נפילות",Positive
"רזולוציה מעולה  מעבד חזק  סוללה טובה  מצלמה אחת הטובות שראיתי  השתדרגה מהמכשירים הקודמים",Positive
"דק נוח עיצוב יפה מהיר יותר מכל מכשיר שווה לקנות",Positive
"לאמא שלי יש את המכשיר והוא די יפה לא כל כך טוב אבל די מהיר האיכות צילום  אין מה לדבר פשוט גרועה למי שגולש הרבה באינטרנט זה טוב",Positive
"פשוט מושלם  מספיק גדול  מסך איכותי  זריז כשד  רמקול מעולה  נוח לאחיזה מצלמה איכותית  מערכת הפעלה מושלמת  סוללה שמספיקה ליום עבודה  שיפור רב לעומת הדגם הקודם  גימור כמו שרק אפל יודעים לעשות",Positive
"מהיר  נוח להפעלה",Positive
"הטלפון מהיר ביותר  עם זיכרון ram של 2gb",Positive
"עוד משהו שאני מאוד אוהב בו  הוא שאפשר לעשות הרבה דברים בעת אחת",Positive
