@RELATION 	Feature23

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"נוח מאד",Positive
"מאפשר הדלקה וכיבוי נוחים מכל טלפון שהיה לי",Positive
"ממשק נוח וביצועים מדהימים",Positive
"מכשיר פשוט נוח שהשקיעו הרבה מאוד מחשבה בעיצוב שלו",Positive
"3  כל מיני טריקים קטנים בממשק משתמש שהופכים אותו לעוד יותר יעיל",Positive
"כפתורי ההפעלה מאחור מאוד נוחים",Positive
"העיצוב שלו עם הכפתורים מאחורה מאוד נוח  מכיוון שהוא עם מסך גדול להפעיל אותו מאחורה מאוד נוח",Positive
"לכן lg עשו משהו חכם לאלו שרוצים פרטיות ועשו את המצב אורח שאני גם לא משתמש בו  שזה נועד לילדים  לחברים ולאנשים שאתם לא רוצים שישחקו עם הטלפון",Positive
"מהיר  נוח להפעלה",Positive
"טלפון פשוט איכותי ביותר  נוח  עובד חלק",Positive
"בנוסף לזה שהכל מסונכרן עם האייטונס לי זה נוח  עם הגירסא של ios 7 זה בכלל מעולה",Positive
"התמיכה שלו בגוגל מצויינת ומאפשרת המון דברים שבלי התמיכה הזו היו הרבה יותר מסובכים",Positive
"עובד בצורה חלקה במיוחד  אין תקיעות רבות  מסונכרן בצורה מושלמת עם גוגל  מסך מעולה  מצלמה מצויינת  נוח מאוד למשתמש",Positive
"מהיר  חד  נוח ואלגנטי",Positive
"פלאפון חסית טוב ונוח לשימוש",Positive
"נח לשימוש יומיומי",Positive
"דגם מוקטן ל lg2 הרגיל מאוד נוח קל לתפעול",Positive
"לדים שמראים על שיחה שלא נענתה/ הודעה היו פוטרים אותי מהתוכנה נו לד שזוללת סוללה",Positive
"לא רגיל לכפתורים האחוריים  למרות שאהבתי את הרעיון של הדלקת המכשיר בדאבל קליק על המסך",Positive
"למי שרוצה מכשיר קטן יותר  נוח יותר לשימוש יומיומי ושיש לו את כל הפונקציונליות העיקרית  חיישן טביעות אצבע  מעבד 64 ביט וכו    זה הפתרון הנכון בנקודת הזמן הזאת",Positive
"לסיכום השימוש שלנו יהיה נוח  אכן שימושי וכיף",Positive
"מכשיר כל לשימוש ומעוצב טוב",Positive
"טביעת אצבע עובדת",Positive
"מכשיר מאוד נוח ומתפקד מעולה",Positive
"תפעול המכשיר  מערכת ההפעלה אנדרואיד השתפרה באופן ניכר והתפעול ממש נוח באלף מונים מהגלקסי s2 שהיה לי",Positive
"זיהוי טביעות אצבע  אם בהגדרות כל אצבע אתה עושה את האצבע בכל מיני מצבים אז פתיחת המכשיר תהיה יותר ויותר חלקה וכאן אני לא נתקלתי בבעיות",Positive
"אך עם זאת  לאחר שנה וקצת הפלאפון  לא סוחב   ועם כל הכבוד לכך שהממשק מעוצב בצורה יפה הוא צריך לעבור ליטוש נוסף  אפליקציות מיותרות שלא ניתן למחוק ובאגים ולאגים פה ושם",Positive
"המכשיר סבבה לגמרי   עיצוב חיצוני יפה  כך גם הממשק   המצלמה לא רעה וגם המסך צבעוני ובהיר",Positive
"פלאפון פצצה  נוח מצלמה טובהה",Positive
"רמקול אדיר נוח אבל גדול מדי בטרייה חזקה מספיקה ליום וחצי",Positive
"הממשק קצת השתפר מהגירסה הקודמת  יותר זורם ופשוט  פחות נתקע  אבל שוב זה לא htc או נקסוס שזורם ועובד כמו שאמור לעבוד עם המעבד החזק הזה",Positive
"נוח לעבודה   גם עם יד אחת",Positive
"ממשק מושלם   פשוט ונוח",Positive
"מומלץ למי שרוצה מכשיר אמין  אחיד ואינטואיטיבי  ולא אכפת לו לשלם יותר",Positive
"טלפון טוב מבית טוב נקנה לפני שנה ממשק טוב מהיר וקליל 4 ליבות לדעתי המחיר לא מצדיק בגרמניה המחיר יותר ראלי מישראל",Positive
"ממשק טוב",Positive
"האישה מאושרת  חויית משתמש אדירה",Positive
"3  כל מיני טריקים קטנים בממשק משתמש שהופכים אותו לעוד יותר יעיל  למשל במסך הnotifications אפשר להגדיר כל מיני דברים  הקשה כפולה מדליקה\מכבה את המסך",Positive
"מהיר ונוח ביד מצלמה איכותית",Positive
"חזק  אלגנטי ונוח",Positive
"הוא טאצ  הוא נגיש יש בו קליטה והתחברות לאינטרנט אני מצליחה לעשות בו כל דבר",Positive
"טלפון איכותי וקל לתפעול",Positive
"קל ונוח לתפעול  וניתן להפעיל פה מערכות שונות ומגוונות",Positive
"המון אפשרויות להתאמה למשתמש כמעט ללא גבולות",Positive
"חיישן טביעת האצבע  החיישן אינו מוצלח במיוחד  אך ממלא את תפקידו  נדרש זמן הסתגלות אשר במסגרתו לומדים את זווית ההעברה הנכונה של האצבע על החיישן",Positive
"נוספו לא מעט פיצ רים חדשים ושימושיים שלא קיימים ב   s4  מד דופק  מידע פרטי  טביעת אצבע  שליטה על הטלוויזיה והממיר",Positive
"המוצר איכותי  ומאוד נוח לשימוש ולתפעול",Positive
"וגם חלונות מרובים מאפשרים לפתוח שני תוכנות יומיומית באותו מסך",Positive
"בנוסף ישנם פיצרים נחמדים כמו העברת תמונה ללא הידיים ועוד",Positive
"מסך חכם  ליעשות חלק מהדברים בטלפון בלי לגעת במסך",Positive
"מכשיר טוב נוח ידודותי סך הכל  ונוח לתפעול  קטן לא כבד בכלל ונוח",Positive
"ומאוד נח לשימוש",Positive
